,0
0,Outsourcing model
1,consult with business clients
2,load equipment
3,set up broadcast equipment
4,manage rented goods returns
5,program sound cues
6,ICT market
7,develop virtual game engine
8,migrate existing data
9,analyse a script
10,ensure compliance with environmental legislation
11,Oracle Data Integrator
12,apply change management 
13,search databases
14,mark film reels
15,manage flight data communications programme
16,report analysis results
17,use computer-aided engineering systems
18,broadcast using Internet Protocol
19,task algorithmisation
20,Visual Studio .NET
21,prioritise requests
22,use interface description language
23,create software design
24,GIMP
25,use different communication channels
26,investment analysis
27,ABAP
28,coach employees
29,provide documentation
30,operate a camera
31,audio editing software
32,data storage
33,projectionist
34,configure ICT system
35,collaborate with music librarians
36,project management
37,conduct content quality assurance
38,carry out strategic research
39,Nexpose
40,use a computer
41,systems theory
42,select recording source
43,define software architecture
44,maintain relationship with suppliers
45,usability engineering
46,ICT network cable limitations
47,performance rental technician
48,maintain ICT server
49,write database documentation
50,Erlang
51,troubleshoot website
52,identify legal requirements
53,web analytics
54,electronics principles
55,perform contract compliance audits
56,present exhibition
57,software anomalies
58,set up cameras
59,engineering processes
60,define data quality criteria
61,Waterfall development
62,ensure adherence to organisational ICT standards
63,evaluate cost of software products
64,assemble performance equipment
65,optimise choice of ICT solution
66,software design methodologies
67,participate in music studio recordings
68,supply chain management
69,manage ICT virtualisation machines
70,ICT problem management techniques
71,apply statistical analysis techniques
72,QlikView Expressor
73,camera operator
74,assess informational needs
75,ICT system integration
76,MySQL
77,confer on artwork
78,JavaScript
79,use markup languages
80,purchase music
81,use software libraries
82,ICT network security risks
83,consult with sound editor
84,perform multiple tasks at the same time
85,online moderation techniques
86,create content title
87,track key performance indicators
88,work with composers
89,online analytical processing
90,engineering principles
91,create prototype of user experience solutions
92,ICT help platforms
93,compile content
94,improve business processes
95,Vagrant
96,execute email marketing
97,use automatic programming
98,Adobe Photoshop
99,keywords in digital content
100,plan teamwork
101,record music
102,Prototyping development
103,operate an audio mixing console
104,ICT hardware specifications
105,comply with legal regulations
106,SketchBook Pro
107,ICT process quality models
108,sound editor
109,set up multimedia equipment
110,LDAP
111,develop ICT device driver
112,tend lathe
113,conduct ICT code review
114,develop audit plan
115,levels of software testing
116,labour legislation
117,train employees
118,edit recorded sound
119,synchronise sound with images
120,distributed directory information services
121,sound artist
122,hardware components suppliers
123,Apache Maven
124,authoring software
125,mobile marketing
126,execute integration testing
127,publishing strategy
128,develop design ideas cooperatively
129,develop documentation in accordance with legal requirements
130,analyse business processes
131,set up portable field transmission equipment
132,audio technology
133,health and safety regulations
134,document management
135,mobile device software frameworks
136,Assembly
137,Prolog
138,maintain ICT system
139,assess supplier risks
140,maintain sound equipment
141,promote environmental awareness
142,operate audio-signal processors
143,practise camera movements
144,WhiteHat Sentinel
145,business processes
146,test for behavioural patterns
147,monitor mixing in a live situation
148,integrate ICT data
149,Pentaho Data Integration
150,interpret electronic design specifications
151,product data management
152,attend rehearsals
153,manage ICT data classification
154,supervise sound production
155,emergent technologies
156,tune up wireless audio systems
157,identify ICT security risks
158,create data models
159,analyse ICT technical proposals
160,adjust video transmissions
161,maintain information network hardware
162,adapt to type of media
163,SaaS
164,use logic programming
165,human-computer interaction
166,ML
167,study media sources
168,maintain electronic equipment
169,apply system organisational policies
170,install low voltage wiring
171,APL
