,0
0,signal box parts
1,tend wire drawing machine
2,resolve equipment malfunctions
3,environmental impact of tourism
4,recruit personnel
5,localiser
6,maintain turf and grass
7,recreation activities
8,ensure compliance with types of weapons
9,use of air traffic services document
10,use microsoft office
11,analyse insurance needs
12,produce prepress proof 
13,maintain database
14,check quality of enamel
15,optoelectronics
16,temper chocolate
17,prepare freight shipment reports
18,establish waste collection routes
19,supervise sound production
20,responsible gambling
21,evaluate outdoor activities
22,maintain turf management equipment
23,write scientific papers
24,carry out social work research
25,ensure fulfilment of legal requirements
26,test electronic units
27,maintain the trust of service users
28,attend to detail regarding jewellery creation
29,give live presentation
30,leather physical testing
31,assess social service users' situation
32,perform multiple tasks at the same time
33,teach air traffic control
34,agronomy
35,comply with policies for trolley bus driving
36,make film shooting schedule
37,sanding techniques
38,put up signs
39,monitor interventions in the outdoors
40,decide on make-up process
41,captioning software
42,perform business research
43,cutting technologies
44,prepare land for turf laying
45,advise on safety improvements
46,supervise crop production
47,operate mixing of food products
48,properties of fabrics
49,promote sport activities in public health
50,capture people's attention
51,read railway circuit plans
52,perform cleaning activities in an environmentally friendly way
53,cosmetic dental procedures
54,oversee animal management
55,make independent operating decisions
56,create subtitles
57,monitor nature conservation
58,determine skin type
59,provide door security
60,manage standard enterprise resource planning system
61,modern languages
62,facilitate coated workpieces to dry
63,operate tower crane
64,assess students
65,mechatronics
66,handle stressful situations
67,sharpen edged tools
68,supervise staff
69,interpret languages in conferences
70,edit dictionary entries
71,parkerise metal workpiece
72,secure heavy construction equipment
73,inform drivers of detour routes
74,standards of track geometry
75,optimise production
76,leather technology
77,electrical equipment production supervisor
78,apply assembling techniques for cemented footwear construction
79,specialised outdoor animator
80,residential care home worker
81,organise labour
82,classical languages
83,nursing principles
84,housing support worker
85,cook vegetable products
86,mix moulding and casting material
87,tabulate survey results
88,monitor moving workpiece in a machine
89,conduct gambling games
90,inspect construction supplies
91,offer cosmetic beauty advice
92,archive documentation related to the work
93,cold forging
94,operate tram controls
95,checkout supervisor
96,chase threaded hole
97,process from cacao to chocolate
98,manufacturing of sports equipment
99,observe products' behaviour
100,operate follow-me vehicles
101,mechanical composition of trams
102,team building
103,types of deburring brush
104,maintain relationships with government agencies
105,prepare desserts
106,air transport law
107,stenography
108,manage manufacturing facilities
109,analyse road traffic patterns
110,composite materials
111,ICT sales methodologies
112,swimming pool chemicals
113,ensure vehicle operability
114,operate cash point
115,manage zoo staff
116,maintain machinery
117,manage delivery of raw materials
118,identify training needs
119,apply methods for footwear and leather goods manufacturing
120,translate language concepts
121,construct greens and grounds
122,tend to elderly people
123,use power tools
124,consider economic criteria in decision making
125,lay pipe installation
126,horse anatomy
127,inform visitors at tour sites
128,perform search and rescue missions
129,plant green plants
130,perform chemical experiments
131,international trade
132,CoffeeScript
133,use geographic information systems
134,soil structure
135,provide food and beverages
136,timber products
137,ensure the privacy of guests
138,collect samples for analysis
139,supervise the work of staff on different shifts
140,monitor building security
141,optimise financial performance
142,Smalltalk
143,promote company
144,aluminium alloys
145,respond to enquiries
146,develop manufacturing recipes
147,identify statistical patterns
148,maintain cleaning equipment
149,train animals
150,types of pensions
151,forest ecology
152,use photographic equipment
153,control train departures
154,negotiate price
155,carry out railway accident investigations
156,appropriate raw materials for specific spirits
157,sport games rules
158,quality assurance procedures
159,COBOL
160,conduct educational activities
161,monitor social impact
162,beauty vocational teacher
163,tend bakery ovens
164,place orders for flower products
165,maximise sales revenues
166,evaluate performance of organisational collaborators
167,identify plants characteristics
168,transport horses
169,sell tickets
170,interpret 2D plans
171,ICT system user requirements
172,operate floor cleaning equipment
173,nutrients of confectionery
174,inspect machinery
175,load cargo
176,support service users in developing skills
177,clean upholstered furniture
178,adhere to transpiration work schedule
179,design hair style
180,transport physical resources within the work area
181,assistant outdoor animator
182,provide first aid to animals
183,negotiate publishing rights
184,attend to hygiene
185,promote equality in sport activities
186,maintain order at scenes of accidents
187,supply machine
188,manufacturing of steel drums and similar containers
189,teach customer service techniques
190,manage inventory
191,animal welfare legislation
192,devise military tactics
193,chemical plant manager
194,psychological theories
195,law enforcement
196,JavaScript
197,inspect wood materials
198,develop educational resources
199,optimise production processes parameters
200,interpret medical results
201,plan self-organisation
202,analyse consumer buying trends
203,organise weight of loads according to lifting equipment capacity
204,plan health and safety procedures
205,develop professional network
206,types of storage facilities
207,advise on tree issues
208,analyse staff capacity
209,perform high risk work
210,tend punch press
211,admit basic metals to furnace
212,provide lesson materials
213,project management principles
214,study court hearings
215,microscopic techniques
216,make artistic food creations
217,adult community care worker
218,advise on career
219,define artistic approach
220,operate financial instruments
221,supervise the management of an establishment
222,follow safety precautions in printing
223,social work theory
224,hardware testing methods
225,choose proper primer coat
226,business law
227,fish cook
228,develop water purification methods
229,paper mill supervisor
230,prepare simple meals on board
231,herbicides sprayers
232,plan shifts of employees
233,types of electronics
234,communicate with others who are significant to service users
235,tourism market
236,adapt to artists' creative demands
237,supervise maintenance of sport facilities
238,select filler metal
239,lip reading
240,C#
241,monitor compliance with licensing agreements
242,develop agricultural production plans
243,execute proofs of alcohol mixture
244,develop an organisational structure
245,purchase supplies
246,apply adhesive wall coating
247,remove processed workpiece
248,theoretical lexicography
249,develop environmental policy
250,evaluate education programmes
251,biology
252,clean street furniture
253,apply spot welding techniques
254,design graphics
255,leisure attendant
256,clean public areas
257,work with authors
258,manage resources
259,deliver Pilates exercises
260,organise projects to fill education needs
261,betting manager
262,conduct routine machinery checks
263,organise an exhibition
264,train attendant
265,animal training
266,use water navigation devices
267,identify new words
268,terminology
269,outdoor animator
270,air traffic management
271,develop jewellery designs
272,apply decision making within social work
273,define the corporate structure
274,manage fundraising activities
275,ensure vehicles are equipped with accessibility equipment
276,ICT network security risks
277,manage campsite supplies
278,create advocacy material
279,telecommunications analyst
280,show social competences
281,set organisational policies
282,apply procedures to ensure cargo complies with customs regulations
283,securities
284,manage time in landscaping
285,waste management
286,organisational resilience
287,evaluate company needs
288,build international relations
289,business analysis
290,communicate with waste collectors
291,government social security programmes
292,make surtitles
293,establish daily priorities
294,chemical aspects of sugar
295,evaluate cultural venue programmes
296,blend food ingredients
297,mechanics of trains
298,communication related to hearing impairment
299,track coffee deliveries
300,provide assistance with job search
301,work in vocational school
302,monitor end-product drying process
303,advise on training courses
304,road traffic laws
305,perform packing of footwear and leather goods
306,develop social security programmes
307,apply control process statistical methods
308,wood production supervisor
309,ensure compliance with purchasing and contracting regulations
310,carry out job analysis
311,types of plastic
312,assist clients with personal development
313,communicate with beneficiaries
314,wood cuts
315,teach flying practices
316,promote farm products
317,differentiate nuance of colours
318,maintain relationships with doctors
319,molecular biology
320,analyse business processes
321,educate on the prevention of illness
322,identify education needs
323,statistical analysis system software
324,shunt outbound loads
325,operate moulding of doughs
326,coordinate airport environmental policies
327,supervise betting operations
328,follow up complaint reports
329,leather goods manufacturing processes
330,inform on toilet facilities malfunctions
331,ensure public safety and security
332,file-based workflow
333,make reservations
334,process refunds
335,help clients make decisions during counselling sessions
336,communication
337,perform small vessel safety procedures
338,coach clients
339,zoo community
340,anodising specifications
341,collect fees for toilet usage
342,machine operator supervisor
343,install coffered ceiling
344,greet guests
345,operate manual planer
346,handle incidents
347,tax legislation
348,perform manual work autonomously
349,sawing techniques
350,residential childcare worker
351,technical terminology
352,complete patient journey records
353,compile railway signalling reports
354,rescue animals
355,combination of textures
356,monitor work site
357,upgrade firmware
358,textile materials
359,supervise unloading of cargo
360,"empower individuals, families and groups"
361,tend weaving machines
362,develop a translation strategy
363,enforce sanitation procedures
364,psychological counselling methods
365,inspect animal welfare management
366,lead military troops
367,offer financial services
368,analyse legislation
369,perform technically demanding tasks
370,fill moulds
371,biomedical engineering
372,manipulate wood
373,maintain catalogue collection
374,apply various lifting techniques
375,keep written records of cargo
376,build business relationships
377,advise on government policy compliance
378,manoeuvre heavy trucks
379,customer insight
380,create cultural venue outreach policies
381,handle freight inspection equipment
382,legal department processes
383,non-ferrous metal processing
384,operate hand tools in chain making
385,anchor sheet metal
386,coordinate activities in audio recording studio
387,inspect government policy compliance
388,operate grinding hand tools
389,mechanics of motor vehicles
390,Python
391,teach hospitality principles
392,oversee assembly operations
393,maintain store cleanliness
394,manage test drives
395,secure goods according to work orders
396,maintain footwear assembling equipment
397,organise business documents
398,set up automotive robot
399,collect industrial waste
400,integrate strategic foundation in daily performance
401,manage environmental management system
402,identify forged documents
403,control games
404,correct fitness customers
405,Agile project management
406,design and applied arts vocational teacher
407,tend electroplating machine
408,furniture care products
409,furniture wood types
410,address public health issues
411,analyse ecological data
412,carry out purchasing operations in the timber business
413,voice interpreting
414,integrate principles of Pilates training
415,equality and inclusion manager
416,labour law
417,troubleshoot
418,test leather chemistry
419,abrasive blasting processes
420,zoo curator
421,food plant design
422,provide interpreting services in tours
423,check payment
424,manufacturing of metal assembly products
425,adjust drying process to goods
426,safe management of medicines
427,forest conservation
428,decorate pastry for special events
429,monitor company policy
430,financial jurisdiction
431,crane load charts
432,online job platforms
433,child protection
434,maintain work area cleanliness
435,ensure cross-department cooperation
436,select music
437,promote facilities management services
438,clean marble furniture
439,deinking processes
440,advise on legal decisions
441,encourage social service users to preserve their independence in their daily activities
442,writing techniques
443,landscaping materials
444,dispatch emergency personnel
445,guide operation of heavy construction equipment
446,comply with checklists
447,marketing mix
448,work in a food processing team
449,handle metal work orders
450,operate fishing equipment
451,implement plans for the management of sports turf areas
452,cook sauce products
453,characteristics of services
454,undertake employee screening
455,plumbing tools
456,types of chocolate
457,collect broken appliances
458,fisheries legislation
459,plan manufacturing processes
460,perform on-farm product processing
461,milling machines
462,edit digital moving images
463,communicate health and safety measures
464,manoeuvre bus
465,digital printing
466,personalise sports programme
467,create patterns for textile products
468,analyse trends in the food and beverage industries
469,spray pesticides
470,textile finishing technology
471,investigation research methods
472,control compliance of railway vehicles regulations
473,lawyer linguist
474,clean painting equipment
475,act reliably
476,ensure quality of legislation
477,re-assemble engines
478,create decorative food displays
479,repair engines
480,effective perception of transport environment
481,training  subject expertise
482,maintain relationship with suppliers
483,manage environmental impact of operations
484,repair wigs
485,landscape design
486,coordinate communication within a team
487,plan menus
488,empower social service users
489,types of audiovisual formats
490,ensure passenger comfort
491,sell services
492,coordinate cutting room in footwear manufacturing
493,use welding equipment
494,liaise with the transported goods' workers
495,maintain professional records
496,document analysis results
497,sales activities
498,jewellery product categories
499,register mail
500,install low voltage wiring
501,hazardous waste treatment
502,obtain financial information
503,demonstrate intercultural competences in hospitality services
504,manage manufacturing documentation
505,work with video and motion picture production team
506,communicate in foreign languages with health service providers
507,show confidence
508,recommend product improvements
509,conduct scholarly research
510,animal feed supervisor
511,manage volunteers
512,coat seams with hot pitch
513,food dehydration processes
514,assess cocoa bean quality
515,personal directing styles
516,foreign affairs policy development
517,use tools for castings repair
518,negotiate supplier arrangements
519,cooperate with colleagues
520,develop tourist information materials
521,maintain laboratory equipment
522,use localisation tools
523,operate sand blasting cabinet
524,zoo exhibit design
525,adapt energy distribution schedules
526,perform sensory evaluation
527,supervision of persons
528,supervise the work of cleaning staff
529,consumer electronics
530,"make health, safety and environment assessments"
531,support children who have experienced trauma
532,carry out recruiting services
533,analyse insurance risk
534,precision engineering
535,ensure aircraft compliance with regulation
536,check the production schedule
537,administer treatment to animals
538,explain features in accommodation venue
539,be at ease in unsafe environments
540,European pesticide legislation
541,cosmetic skin treatment
542,comply with legal regulations
543,analyse market financial trends
544,power plant manager
545,measure working time in footwear and leather goods production
546,select adequate packaging for food products
547,use gardening equipment
548,assist in interior plant projects
549,industrial software
550,musical notation
551,recognise abnormalities on board
552,work safely with machines
553,programme work according to incoming orders
554,conduct full-scale emergency plan exercises
555,assemble an artistic team
556,apply HACCP
557,sales strategies
558,locomotive brake applications
559,acting and directing techniques
560,identify origin of typed documents
561,"agriculture, forestry and fishery vocational teacher"
562,integrate principles of training
563,renewable energy technologies
564,manage gambling finances
565,use hand signal for transport procedures
566,questioned document examination
567,perform laboratory tests on footwear or leather goods
568,compile cooking recipes
569,stamping press parts
570,assess employees' capability levels
571,administer appointments
572,manage routine waste
573,assess students' preliminary learning experiences
574,translate texts
575,determine child placement
576,apply crisis intervention
577,hair colouring
578,assist students with equipment
579,attach accounting certificates to accounting transactions
580,advise on betting
581,ensure necessary ventilation in machining
582,textile techniques
583,maintain inventory of cleaning supplies
584,techniques of blood-sampling
585,typology
586,drive vehicles in processions
587,european food safety policy
588,handle patients with special needs
589,provide feedback on job performance
590,decide on wig making process
591,clean train interiors
592,algorithms
593,assist in maritime rescue operations
594,ensure vessel compliance with regulations
595,perform rail track inspections
596,handle guest luggage
597,carry out pre-flight duties
598,develop artistic project budgets
599,organise training
600,Lisp
601,cut glass
602,weigh shipments
603,assess clients' drug and alcohol addictions
604,produce confectionery from chocolate
605,deal with aggressive behaviour
606,distribute meals to patients
607,distinguish fabrics
608,tend CNC milling machine
609,local area tourism industry
610,maritime transportation technology
611,delegate activities
612,coat seams with putty
613,select artistic materials to create artworks
614,identify clients' needs
615,dispose of hazardous waste
616,operate scientific measuring equipment
617,coordinate import transportation activities
618,meet standards of practice in social services
619,clean kitchen equipment
620,manage studio resourcing
621,maintain stock control systems
622,analyse weather forecast
623,perform planning
624,drive automatic car
625,respond to changing situations in health care
626,auxiliary nursing and midwifery vocational teacher
627,childbirth
628,create a diet plan
629,give advice on personal matters
630,edit scripts
631,provide fitness customer care
632,milk production process
633,process incoming electrical supplies
634,power engineering
635,set up tower crane
636,demonstrate proficiency in packaging standards
637,ingredient threats
638,coordinate waste management procedures
639,fire safety regulations
640,maintain operational communications
641,develop classification systems
642,document interviews
643,perform cleaning duties
644,create plant displays
645,provide social counselling
646,liaise with cultural partners
647,imprint visionary aspirations into the business management
648,innovation in nursing
649,park guide
650,engineering processes
651,communicate by telephone
652,toys and games industry
653,operate mailing information systems
654,clean food and beverage machinery
655,ensure compliance with railway regulation
656,energy market
657,business knowledge
658,inspect aircraft cleanliness
659,knitting machine technology
660,footwear creation process
661,data models
662,perform wagon coupling
663,design drawings
664,perform resource planning
665,establish collaborative relations
666,tend to clients' personal items
667,handle shipment paperwork
668,alloys of precious metals
669,precious metals
670,manage production of footwear or leather goods
671,perform project management
672,cope with challenging demands
673,wet tumbling
674,prospect new regional contracts
675,perform manual cutting for footwear uppers
676,apply stitching techniques
677,nuclear energy
678,hire new personnel
679,residential home adult care worker
680,operate turf management equipment
681,aircraft mechanics
682,inspect optical supplies
